SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	August 02, 2020	July 31, 2020	July 30, 2020	July 29, 2020	July 28, 2020
Chinese yuan		0.1013070000	0.1015090000	0.1015920000	0.1015290000
Euro		0.8384590000	0.8345770000	0.8334580000	0.8336340000
Japanese yen		0.0067688200	0.0067634400	0.0067737600	0.0067547100
U.K. pound		0.9297500000	0.9249080000	0.9216010000	0.9164850000
U.S. dollar		0.7076800000	0.7107020000	0.7108380000	0.7114740000
Algerian dinar			0.0055530600	0.0055616700	0.0055660100
Australian dollar		0.5104500000	0.5087920000	0.5093150000	0.5080640000
Botswana pula		0.0616389000	0.0618311000	0.0622694000	0.0623251000
Brazilian real		0.1360220000	0.1371190000	0.1383250000	0.1374270000
Brunei dollar			0.5167990000	0.5158480000	0.5157850000
Canadian dollar		0.5279620000	0.5291110000	0.5320640000	0.5320230000
Chilean peso		0.0009380080	0.0009361440	0.0009257870	0.0009254220
Colombian peso		0.0001892450	0.0001912090	0.0001911530	0.0001933790
Czech koruna		0.0320348000	0.0317959000	0.0316999000	0.0317523000
Danish krone		0.1126320000	0.1121350000	0.1119840000	0.1120040000
Indian rupee		0.0094644800	0.0094961300	0.0095074100	0.0095185800
Israeli New Shekel		0.2076530000		0.2085180000	0.2083380000
Korean won		0.0005939900	0.0005946300	0.0005947940	0.0005945800
Kuwaiti dinar					2.3250800000
Malaysian ringgit			0.1675200000	0.1672950000	0.1675040000
Mauritian rupee		0.0176942000	0.0177736000	0.0177410000	0.0177208000
Mexican peso		0.0318758000	0.0320530000	0.0323245000	0.0323964000
New Zealand dollar		0.4742160000	0.4729010000	0.4732050000	0.4762610000
Norwegian krone		0.0781250000	0.0778433000	0.0782052000	0.0779535000
Omani rial		1.8405200000		1.8487300000	1.8503900000
Peruvian sol		0.2009310000	0.2027100000		
Philippine peso			0.0144402000	0.0144476000	0.0144541000
Polish zloty		0.1904110000	0.1892730000	0.1890020000	0.1895650000
Qatari riyal				0.1952850000	0.1954600000
Russian ruble		0.0096379900	0.0096874300	0.0098406600	0.0098926300
Saudi Arabian riyal					
Singapore dollar			0.5167990000	0.5158480000	0.5157850000
South African rand		0.0416908000	0.0423182000	0.0431706000	0.0428838000
Swedish krona		0.0817787000	0.0810129000	0.0813093000	0.0811102000
Swiss franc		0.7790830000	0.7771910000	0.7748820000	0.7745620000
Thai baht		0.0226675000	0.0226230000	0.0225706000	
Trinidadian dollar			0.1056850000	0.1053700000	0.1050830000
U.A.E. dirham				0.1935570000	0.1937300000
Uruguayan peso		0.0167000000	0.0167063000	0.0167236000	0.0167884000

Currency units per SDR(3)

Currency	August 02, 2020	July 31, 2020	July 30, 2020	July 29, 2020	July 28, 2020
Chinese yuan		9.870990	9.851340	9.843290	9.849400
Euro		1.192660	1.198210	1.199820	1.199570
Japanese yen		147.736000	147.854000	147.628000	148.045000
U.K. pound		1.075560	1.081190	1.085070	1.091130
U.S. dollar		1.413070	1.407060	1.406790	1.405530
Algerian dinar			180.081000	179.802000	179.662000
Australian dollar		1.959060	1.965440	1.963420	1.968260
Botswana pula		16.223500	16.173100	16.059300	16.044900
Brazilian real		7.351750	7.292940	7.229350	7.276590
Brunei dollar			1.934990	1.938560	1.938790
Canadian dollar		1.894080	1.889960	1.879470	1.879620
Chilean peso		1,066.090000	1,068.210000	1,080.160000	1,080.590000
Colombian peso		5,284.160000	5,229.880000	5,231.410000	5,171.190000
Czech koruna		31.216100	31.450600	31.545800	31.493800
Danish krone		8.878470	8.917820	8.929850	8.928250
Indian rupee		105.658000	105.306000	105.181000	105.058000
Israeli New Shekel		4.815730		4.795750	4.799890
Korean won		1,683.530000	1,681.720000	1,681.250000	1,681.860000
Kuwaiti dinar					0.430093
Malaysian ringgit			5.969440	5.977460	5.970010
Mauritian rupee		56.515700	56.263200	56.366600	56.430900
Mexican peso		31.371800	31.198300	30.936300	30.867600
New Zealand dollar		2.108740	2.114610	2.113250	2.099690
Norwegian krone		12.800000	12.846300	12.786900	12.828200
Omani rial		0.543325		0.540912	0.540427
Peruvian sol		4.976830	4.933160		
Philippine peso			69.251100	69.215600	69.184500
Polish zloty		5.251800	5.283370	5.290950	5.275240
Qatari riyal				5.120720	5.116140
Russian ruble		103.756000	103.227000	101.619000	101.085000
Saudi Arabian riyal					
Singapore dollar			1.934990	1.938560	1.938790
South African rand		23.986100	23.630500	23.163900	23.318800
Swedish krona		12.228100	12.343700	12.298700	12.328900
Swiss franc		1.283560	1.286680	1.290520	1.291050
Thai baht		44.116000	44.202800	44.305400	
Trinidadian dollar			9.462080	9.490370	9.516290
U.A.E. dirham				5.166440	5.161820
Uruguayan peso		59.880200	59.857700	59.795700	59.564900


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
